condition,student_id,disability_type,sessions_to_mastery,reached_threshold,run_seed
push_only,S0252,Dyslexia,19,True,429
push_only,S0254,ADHD,21,True,429
push_only,S0255,ID,25,True,429
push_only,S0264,Mixed,4,True,429
push_only,S0265,ASD,16,True,429
push_only,S0266,ADHD,13,True,429
push_only,S0276,ADHD,22,True,429
push_only,S0279,Mixed,16,True,429
push_only,S0280,ASD,9,True,429
push_only,S0281,ASD,7,True,429
push_only,S0282,ADHD,7,True,429
push_only,S0288,Dyslexia,17,True,429
push_only,S0297,Physical_Sensory,13,True,429
push_only,S0308,ADHD,22,True,429
push_only,S0313,ADHD,9,True,429
push_only,S0316,ADHD,10,True,429
push_only,S0317,ID,9,True,429
push_only,S0319,Mixed,12,True,429
push_only,S0334,ASD,14,True,429
push_only,S0335,Dyslexia,14,True,429
push_only,S0336,ASD,23,True,429
push_only,S0352,Dyslexia,10,True,429
push_only,S0356,Physical_Sensory,9,True,429
push_only,S0357,Physical_Sensory,9,True,429
push_only,S0368,ADHD,8,True,429
push_only,S0369,Mixed,4,True,429
push_only,S0373,ADHD,14,True,429
push_only,S0386,ID,19,True,429
push_only,S0388,ASD,8,True,429
push_only,S0393,ID,13,True,429
push_only,S0396,Physical_Sensory,13,True,429
